Id,Prediction
0,4489607.031897156
1,4295265.6203121375
2,4825167.069959382
3,4343527.635739629
4,4956519.21266909
5,4668329.482484848
6,4419166.446496611
7,4611947.722671891
8,4698354.710534494
9,4289129.867596891
10,4545672.680903445
11,4288387.575981629
12,5231148.558052867
13,5452496.029486691
14,4473223.110910975
15,4331748.002292191
16,5095722.792923496
17,4254072.965914897
18,4778041.375155583
19,4664371.5768785635
20,4312176.455749545
21,4458534.403102597
22,4331748.474134527
23,4760506.374675771
24,4820666.837624612
25,4202515.587282929
26,3989662.5982488673
27,4656726.720698944
28,4410280.635387603
29,4876020.584563341
30,5160670.9058674155
31,4435761.803447514
32,4457277.912431167
33,4209879.585170516
34,4247188.867870345
35,4629637.410286004
36,4472177.900545564
37,4348005.097878651
38,3697073.5700199497
39,4966665.245420455
40,4642101.006914996
41,4525495.864144222
42,4478416.76434949
43,4791273.815420688
44,4796541.562483106
45,4080344.137546502
46,4328279.968629595
47,4180007.847039057
48,4696080.099861318
49,4659797.81280126
50,4799295.29521795
51,4863721.549454852
52,4279531.36775552
53,4101009.061231068
54,3882223.6742328666
55,4460296.124855388
56,4647218.82117955
57,4880631.513739833
58,4739942.500303387
59,4809658.604135745
60,4008544.633978727
61,4174140.0739523442
62,4305329.427056555
63,4176433.477198701
64,4502011.190936951
65,5188301.876882369
66,4796404.272399534
67,5482209.978923839
68,4614432.107347754
69,4255695.679817022
70,4336176.255170955
71,4665756.836367882
72,4403796.445898588
73,4595334.935888817
74,5244216.986468084
75,4438517.713840204
76,4362621.645833857
77,4209932.416902402
78,4452612.5772638535
79,4921337.828281115
80,4854189.922873468
81,4339576.830415008
82,4435314.999105431
83,4836101.982967153
84,5210642.375396298
85,3657453.628886315
86,4717760.936407424
87,4689245.428120908
88,4379833.652191145
89,4843065.1491570985
90,4869184.648047052
91,5164457.533740824
92,4061748.062344735
93,5214704.147835111
94,4221256.81327026
95,4861083.555947473
96,4887968.274435885
97,4398785.1994563015
98,4053163.7682139077
99,4526103.218821724
100,4065251.1074340604
101,3664000.35998924
102,4265000.360723815
103,4218409.037379315
104,3876588.9615238076
105,3898426.1693948423
106,5015376.066559288
107,4231980.30332336
108,4741467.878861207
109,4496568.6955558695
110,4766563.413224635
111,4872283.450637397
112,4982374.655958285
113,4332555.839621957
114,4310119.44425672
115,4759377.3590043085
116,4299375.376326208
117,4845546.617875416
118,4259574.911246173
119,4722791.882637757
120,4735659.297775075
121,4705153.932371518
122,4141773.608979477
123,5463133.577350446
124,4612659.864188983
125,4242466.652970984
126,4818071.919758608
127,4218663.566837436
128,4518179.166371106
129,4026390.624722458
130,4012384.886216577
131,4815441.390432668
132,4999839.499643158
133,4072545.3377773045
134,4196152.7915218705
135,4337135.553877955
136,4450105.605508828
137,4055690.1006049453
138,4465326.172270708
139,4446934.416241254
140,4814357.461312593
141,3983964.6124995477
142,4379998.805336287
143,4220156.334276698
144,4460792.05900144
145,4089106.808683778
146,4588016.614511909
147,3763401.194234077
148,4779018.018182348
149,4743822.274813458
150,4045679.516177109
151,3973598.1627191957
152,4629549.298780435
153,4971275.339634997
154,3971728.9661002196
155,4737331.849185481
156,4850440.6865494875
157,4459202.091104753
158,4470431.494177446
159,4325511.676455414
160,4563869.421733782
161,4098328.820510333
162,3959933.1022635815
163,5604759.082343641
164,5524031.731799259
165,4427889.238077301
166,4698677.142329654
167,4512376.837313941
168,4159588.808891711
169,4891710.079925908
170,4387107.242609387
171,4339758.567428419
172,4641898.660746297
173,4120901.6492578643
174,4906673.435393588
175,4505523.088810375
176,4862707.982260609
177,4782375.603752423
178,4316202.671146072
179,4356084.393080303
180,4245774.595757253
181,4406044.537993602
182,4795747.715214856
183,4281737.35249254
184,4495248.606049858
185,4122314.689089319
186,3777205.3044157606
187,5756005.624368371
188,5261481.316424768
189,4528065.704587792
190,4600344.602337675
191,4849077.4938929565
192,4651367.638156985
193,5089201.746276095
194,4401637.395897979
195,5762562.172725645
196,4548610.624257184
197,4072067.7843721486
198,4727491.3980777655
199,4361997.0995802255
200,4702744.587100546
201,4574078.261603524
202,4434529.323229554
203,4268011.7930687545
204,4775562.741540101
205,4211237.135305709
206,4238593.157323015
207,4713758.396284362
